"Symbol","Name","Category2","Category3","Sector","Market cap","Dividend yield","Country","Action"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$142,006,769,885","2.88%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$140,495,176,821","1.88%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$130,753,440,000","2.49%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$128,301,688,273","0.00%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$114,768,522,000","1.97%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$112,048,050,000","5.29%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$111,395,329,035","0.71%","USA","Analyze"
"PDD","Pinduoduo Inc. ADRs","ADRs","Large cap","Consumer Discretionary","$110,191,211,053","0.00%","China","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$108,592,432,100","3.32%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$107,270,055,458","0.00%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$103,205,000,650","1.74%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$94,459,695,561","0.00%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$90,663,412,746","2.14%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$89,953,948,459","0.97%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$84,588,962,841","1.82%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$79,621,402,200","0.00%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$79,539,734,862","0.00%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$79,163,643,797","0.00%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$78,307,162,382","0.00%","USA","Analyze"
"JD","JD.com Inc ADRs","ADRs","Large cap","Consumer Discretionary","$76,353,269,213","0.00%","China","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$76,247,912,098","0.00%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$66,793,525,320","1.25%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$62,531,214,644","0.00%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$60,833,366,616","1.44%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$59,769,095,612","0.62%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$56,770,064,695","0.82%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$54,526,126,313","1.22%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$51,991,750,936","0.00%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$51,877,285,375","2.07%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$50,511,275,359","0.00%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$49,355,735,761","0.00%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$49,193,421,256","0.64%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$49,109,951,706","3.28%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$48,792,363,034","0.00%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$48,788,968,432","3.96%","USA","Analyze"
"NTES","NetEase Inc ADRs","ADRs","Large cap","Communication Services","$46,829,708,380","2.12%","China","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$45,837,316,691","0.00%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$45,137,911,527","0.94%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$44,898,644,450","0.00%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,502,284,680","0.00%","USA","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$42,798,713,808","2.03%","The Netherlands","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$42,688,157,022","0.00%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$42,195,702,599","2.56%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,114,787,231","3.15%","USA","Analyze"
"MELI","Mercadolibre Inc","Common stocks","Large cap","Consumer Discretionary","$42,000,762,195","0.00%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$41,882,628,260","0.00%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$40,815,757,950","0.00%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$40,757,082,694","0.00%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$39,991,133,304","1.58%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$39,805,305,943","0.00%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$39,151,540,013","1.09%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$38,646,688,788","2.69%","USA","Analyze"
"ABNB","Airbnb, Inc.","Common stocks","Large cap","Consumer Discretionary","$36,085,142,729","0.00%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$35,434,840,000","0.00%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$34,400,507,599","0.00%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$34,145,064,000","0.60%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$34,088,072,112","4.76%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$34,056,878,620","1.37%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$33,607,246,885","0.61%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$33,049,472,405","0.40%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$32,633,458,000","0.00%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$32,495,492,991","0.00%","USA","Analyze"
"BIDU","Baidu Inc ADRs of Class A","ADRs","Large cap","Communication Services","$31,340,037,530","0.00%","China","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$29,333,505,182","0.63%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$28,959,472,693","1.90%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$27,618,111,970","0.70%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$27,475,291,444","2.56%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$25,100,223,147","0.00%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$23,841,229,937","0.00%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$23,220,536,911","1.50%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$22,949,052,789","2.07%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$22,868,963,661","0.00%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$21,681,857,698","0.00%","United Kingdom","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$21,606,447,647","0.00%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$21,168,305,770","0.00%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$17,618,455,811","0.00%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$16,897,346,638","0.00%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$15,776,351,531","0.00%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$15,013,498,139","2.50%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$14,419,850,657","0.00%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$14,327,024,000","0.00%","USA","Analyze"
"LCID","Lucid Group, Inc.","Common stocks","Large cap","Consumer Discretionary","$12,519,211,621","0.00%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$11,716,891,147","0.00%","USA","Analyze"
"DOCU","Docusign Inc.","Common stocks","Large cap","Information Technology","$11,322,485,274","0.00%","USA","Analyze"
